Temp,monthYear
31.3,200001
37.3,200002
47.2,200003
51,200004
63.5,200005
71.3,200006
72.3,200007
72.4,200008
66,200009
57,200010
45.3,200011
31.1,200012
33.6,200101
35.9,200102
39.6,200103
53.9,200104
63.6,200105
72.9,200106
73.1,200107
78.7,200108
67.7,200109
58.5,200110
52.7,200111
44.1,200112
39.9,200201
40.6,200202
44.1,200203
56.1,200204
60.7,200205
71.5,200206
78.8,200207
77.7,200208
70.2,200209
55.2,200210
46,200211
36,200212
27.5,200301
30.1,200302
43.1,200303
49.8,200304
58.7,200305
68.4,200306
75.8,200307
76.7,200308
67.9,200309
55.1,200310
50,200311
37.6,200312
24.7,200401
35,200402
43.5,200403
53.6,200404
65.2,200405
71.2,200406
74.5,200407
74.2,200408
69.3,200409
56,200410
48.2,200411
38.4,200412
31.3,200501
36.5,200502
39.5,200503
55.1,200504
58.9,200505
74,200506
77.5,200507
79.7,200508
73.3,200509
57.9,200510
49.6,200511
35.3,200512
40.9,200601
35.7,200602
43.1,200603
55.7,200604
63.1,200605
71,200606
77.9,200607
75.8,200608
66.6,200609
56.2,200610
51.9,200611
43.6,200612
37.5,200701
28.3,200702
42.2,200703
50.3,200704
65.2,200705
71.4,200706
75,200707
74,200708
70.3,200709
63.6,200710
45.4,200711
37,200712
36.5,200801
35.8,200802
42.6,200803
55,200804
60.1,200805
74,200806
78.4,200807
73.8,200808
68.8,200809
55.1,200810
45.9,200811
38.1,200812
27.9,200901
36.7,200902
42.4,200903
54.5,200904
62.5,200905
67.5,200906
72.7,200907
75.7,200908
66.3,200909
55,200910
51.1,200911
35.9,200912
32.5,201001
33.1,201002
48.2,201003
57.9,201004
65.3,201005
74.7,201006
81.3,201007
77.4,201008
71.1,201009
58.1,201010
47.9,201011
32.8,201012
29.7,201101
36,201102
42.3,201103
54.3,201104
64.5,201105
72.3,201106
80.2,201107
75.3,201108
70,201109
57.1,201110
51.9,201111
43.3,201112
37.3,201201
40.9,201202
50.9,201203
54.8,201204
65.1,201205
71,201206
78.8,201207
76.7,201208
68.8,201209
58,201210
43.9,201211
41.5,201212
35.1,201301
33.9,201302
40.1,201303
53,201304
62.8,201305
72.7,201306
79.8,201307
74.6,201308
67.9,201309
60.2,201310
45.3,201311
38.5,201312
28.6,201401
31.6,201402
37.7,201403
52.3,201404
64,201405
72.5,201406
76.1,201407
74.5,201408
69.7,201409
59.6,201410
45.3,201411
40.5,201412
29.9,201501
23.9,201502
38.1,201503
54.3,201504
68.5,201505
71.2,201506
78.8,201507
79,201508
74.5,201509
58,201510
52.8,201511
50.8,201512
34.5,201601
37.7,201602
48.9,201603
53.3,201604
62.8,201605
72.3,201606
78.7,201607
79.2,201608
71.8,201609
58.8,201610
49.8,201611
38.3,201612
38,201701
41.6,201702
39.2,201703
57.2,201704
61.1,201705
72,201706
76.8,201707
74,201708
70.5,201709
64.1,201710
46.6,201711
35,201712